clean_for_labeling,sentiment
player suruh nyesuain sinergi terus capekkk,negative
sinergi makin kesini semakin tidak benar lebih baik sinergi yang dulu lebih gampang di pahami dan untuk sekarang ini saya sudah tidak main magicchess lagi karena sinergi sudah tidak benar makin kacau,negative
game pilihkasih gj,positive
jujur saya lebih suka sinergi yang dulu tapi enggak apa-apa lhh,negative
nge lag saat pertandingan padahal sinyal lagi bagus,negative
bug shop nya hilang,negative
game nya sangat seru dan sama seperti di ml,negative
sangat menghibur dan menyenangkan bermain mcgg mantap,positive
game nya membuat sakit kepala,positive
permainan tidak main akal malah main beruntung kalau tidak di secam ya beruntung dan musuh nya juga tidak sama dengan rank nya lain kali lebih di perhatikan,negative
ganti akun saja harus tunggu hari,negative
semenjak dipisah dari mlbb sekarang uiux nya jelek dan tampilanya kurang,negative
sangat seru sekali bisa dimainkan di hape samsung,negative
game rusak bug di mana masa saat main ke rolog habis itu pertandingan terakhir enggak ke baca,negative
kenapa setiap update itu seperti baru download aplikasi di playstore mulai dari lagi ngntd,negative
mantap jika perlu tetap naikan turun update heri dll,positive
sering lag dan sangat mengecewakan,negative
sejago apa kita dalam teori kalau akun kita di setting lostricccgk guna juga buang² waktu danending main hok game sebelah hari tidak pun menang segoblog apa pun paling tidak saja menang atau urutan itu mending kita cuman di jadikan alat saja sama monton kesel saya maaf monton mc gogo saya uninstall bukannya dapat ketenangan dalam bermain membuat emosi,negative
permainan nya seru sekali apalagi kalau ful hero pasti seru,negative
patch baru mode baru sudah bagus tapi kok patch yang sekarang sering sekali ngefreze dikit dikit ngefreze lag suka enggak bisa mencet atau mindahin item tolong min perbaiki,negative
game ini cocok untuk belajar dan merancang sebuah strategi,positive
tolong kembalikan pattern hitung seperti season kemarin soalnya saya susah menentukan lawan selanjutnya,negative
tolong petbaiki masalah koneksisejak update sistem jadi sering loading,negative
lumayan sih bagus tapi ini cara main nya bagaimana saya tidak nggerti kalau ml yang asli saya tahu cara mainnya kalau ini bagaimana makanya saya kasih bintang,negative
pay tapi win matchmaking tidak jelas dan terlalu banyak sinergi tidak jelas,negative
apa sih nih mau login game tidak bisa tiba tiba mentok di loding screen game nya doang,negative
lawannya tidak ada yang jago,negative
ini seru melatih otak untuk konsentrasi,negative
buat devoloper mobile legend dan mcgg hapus saja game lu ini moonton membuat manusia malas bekerja wkwkwkwk,positive
secara keseluruhan lebih suka dengan magic chess lama dari sinergi sampai hero yang masih satu sama mlbb,negative
game ngentt,positive
masih bingung yang lain gampang sekali dapat hero di babak dan sudah banyak yang naikin hero level bintang,negative
ya ok lahpermain nya cukup bagus tapi sayang nya penyimpanan tambah berat lagibagusan yang kemarin tapi enggak apa-apa kalau sudah bosanmlbb kalau sudah bosan main mcgg dan seterus nya,negative
kalah menang sudah di seting,negative
game tidak jelas hero koin sakti mandraguna masa kalah yang hero harga koin anjir,neutral
tolong singkirkan commander miya wanwan sama jhonny tidak sesuai permainan,neutral
loading lama sekali kadang² tidak bisa masuk game padahal koneksi sama ponsel mendukung,negative
mcgg rusak sinergi balik lagi ke jadul mana rank langsung teejun bebas ke warior seperti baru downloada lagi saja di tambah persentase menang anjlok parah tidak logis,negative
bkalok niat jangan paksa saya menyesuaikan diri begitu lah montor bingung saya ganti mulu itu sinergi,negative
loadingnya lama apakah ini bug,negative
terima kasih mode rune di idupin lagi kalau mode rune tanggal di ilangin fix pensi gara ku post di story wa teman yang off lama mc gogo balik lagi,negative
gold rush lah gold rush,neutral
good pokok nya aowk,neutral
gamenya bagus tapi please buka practice mode untuk semua player,negative
gamenya bagus sekali saran next update hapus saja dari play store,negative
dapat ampas teross,negative
burik makin di update,positive
game yang sangat luar biasa dimana menang kalah adalah permainan sistem kalau kalah mau menggunakan hero setebal apapun pasti lembek dan hero damage jadi enggak ada damage dan mau naikin bintangnya susah padahal heronya masih banyak di daftar cuman enggak di munculin saja monton babi,negative
terima kasih bang montoon sudah dikasih versi yang lama buat nostalgia,negative
sekarang sedikit paham heheh,negative
shopnya dark sistem sama update nostalgianya banyak bug sama rusak,negative
semenjak menggunakan aplikasi sendiri jadi malas untuk main soalyga semua ponsel bisa nampung juga tampilannya tidak menarik seperti yang di mlbbnya langsung,negative
mantap makin banyak tantangan nya,neutral
saya sering mengalami lag saat saya sedang bermain terdapat gambar yang menyatakan bahwa internet tidak stabilakan tetapi internet yang saya gunakan saat itu sendang stabil kasulitan saat mencari hero dengan sinergi yang sama terutama saat level commander sudah naik saya sering kesulitan untuk mencari hero terutama hero harga koin,negative
terima kasih min saya sudah mainkan game ini yang sangat luar biasa dan sempat lihat bang windah yang lagi live streaming terima kasih banyak ya min,negative
seru saya suka magic ches yang sekarang pertahan kantapi yang membuat kesal mau masuk ke google play game nya susah bangetmasa iya harus menggunakan ode email,negative
bagusbanget,neutral
mode practice nya rilisin dong,neutral
koneksi bagus tapi game nya lag sering keluar sendiri mmemek,negative
meta roll bawah merasahkan bagus hapus saja hero dan gold sudah tidak penting di meta sekarang,negative
setiap saat sudah di game malah rilog lagi tolong perbaiki,negative
bolelah,neutral
tidak seru mending chess yang dulu,negative
saya susah ganti akun baru,negative
role bawah hama keturunan amba,negative
tolong waktu untuk persiapan war nya di perpanjang saya sering kalah karena hero belum ditempatkan malah langsung mulai saja,neutral
perbaiki serverjaringanmasak main nge lag mulupadahal kan ini game santai tapi membuat emosi gara gara koneksi nge lag mulu,negative
min ram bisa main magic ches go go tidak,negative
ti ada dapat hero bagus,negative
meminta tolong dong untuk chessboard cybercity dirubah biar ada efeknya seperti chessboard magical lainnya,negative
tidak pernah hoky benar game gambling,negative
mic nya kadang mati,neutral
ngebag terus deh semenjak updet,neutral
update season agak tidak slabil buat nguduh lama koneksi sudah stabil tapi nguduh nya sampai mau selesai season nya tolong tambahkan peraturan buat nguduh supaya bisa memilih yang mana dulu yang mau di uduh,negative
sumpaaahh dulu saya pernah rating disini buat nambahin hero dan ada pemilihan hero diawal seperti dulu makasihhh sekali update an terbaru ada magic cristal rune persis sekali seperti magic chess yang lamaa keren,negative
keren sih mc lama di tambahkan di mode mgc sekarang,neutral
kurang lancar saat mai terutama server sama koneksi,negative
game beruntung hokian apalah,positive
synerginya banyak yang dihapus dan diganti,negative
saya kasih bintang soalnya cocok buat mengisi waktu luang saya,negative
nih knapa mc apdet mulu anjir sudah kali update tiap mau login heran saya,negative
yang download lumayan banyak tapi yang login dan memainkan jarang saya rasa sudah mulai sepi lagi hampir semua teman di list saya pada login di ml nya kurang menarik seperti nya kalau mcgogo di pisah sama ml karena orang itu pasti fokus ke aplikasi game,negative
tolong semakin keren lagi dibikin ya supaya makin betah saya main nyaaku sih sudah suka sekali game nya,negative
setiap skip tidak main harian pasti data download ulang ngapa deh,negative
ribeeeeeeet tidak bisa langsung masuk akun harus ikut tutorial dulu tidak bisa di skip membuat bosan mana tutornya lama lebih suka grafik lama juga dari yang ini,negative
seru sekali sumpah,negative
jooosss,neutral
magic chess taeei tidak pernah benar,negative
game settingan buruk,neutral
mantap moonton ini lebih seru dari pada mobile legend nya,negative
mengapa harus di dua aplikasi untuk magic cheese sekarang lebih baik yang lama karena untuk settingan nya karena saya tidak hapal akun nya saya,negative
soalnya saya menang mulubosen ada yang kalau lawan akuterlalu gampang saya mau tanya hero yang lawan kita itu bot yaitu doang sih saya tanya nya,negative
kasih mode offlene ya please,negative
setelah update donlod data lagi,negative
game bb terlalu sering update buff nerf malah jadi tidak seru baru mulai beradaptasi sama combonya sudah di nerf bentar² buff dan nerf dulu saat season awal² masih di digabung sama ml seru tidak seperti sekarang bentar² buff nerf,negative
saya ingin download game ini tapi ketika saya login saya selalu login ulang,negative
game enggak jelas sudah cape kumpulin eru eh malah kalah gara waktunya tidak sempat mengatur strategi waktu terlalu singkat jadi tidak relevan untuk mengatur strategi,negative
game ini sangat seru bahkan sangat banyak sekali karakternya tapi banyak sekali bug,negative
gue mohon magic ches nya di kembali kan seperti semula karena yang sekarang makin tidak bisa di mengerti dan sulit di pahami,negative
malin kesini makin tidak jelas anjir,negative
commander jhonson terlalu sakit tidak sesuai logika demagenya langsung hilang,negative
gamenya sangat bagus buat yang malas main game kompetitif,negative
pertandingan nya tidak sinkron masa sudah ketemu bisa ketemu lagi sama musuh yang sama hanya selang babak padahal masih ada players nya enggak jelas las sistem nya,negative
jangan download semua setingan montton mending main game lain sumpah saya tidak bohong,negative
game tidak bermutu mencari hero gold saja seperti mencari jarum dalam jerami benerin dulu masalah gameplay nya jangan bentar bentar event skin bentar bentar event skin lama lama seperti game mobile legend juga pasti di uninstall nih game benerin gameplay nya dulu ya sangat sangat tidak puas,negative
magic chess game sangan seru untuk di mainkan,neutral
honestly nih game cocok sekali buat para player ml yang sudah stres sama matchmaking di game mobanya juga cocok buat orang yang sudah sibuk kalau mau main ml lagi cuman ya ada juga minusnya paling jelas waktu waktu break nya agak kecepetan buat memilih hero apalagi buat orang yang perlu mikir sekali buat late game sisanya very well be better,negative
ada fitur tag tim bintang nomor drama,negative
game nya bagus tapi satu yang harus di tambahkan misal nya baru main awal game bisa memilih hero nya pilihan min semoga di balas,negative
saya main nih game dari sih sampai sekarang hadiahevent tidak ada pun yang bagus rating saya soal hadiahevent jelek sekali iya tambahan satu lagi skin di mcgg sekarang menurutku tidak gunagak ada fungsi tidak seperti mc dulu kalau dapat skin skil commender yang sebelum baru kebuka saat dapat skin langsung kebuka semua,negative
saya meminta demon jangan update terus dan terus mengadakan mesir shop,negative
sinyal di game ini sering lag dan delay padahal koneksi stabil tidak ada masalah di game lain tolong perbaiki servernya jangan terus diabaikan main jadi tidak nyaman garagara masalah teknis seperti begini,negative
game aneh menghubungkan kembali tapi enggak bisa balik ke pertandingan,negative
this game is not as interesting as before switching applications my suggestion is tapi return the old magic chess,positive
game anjing sinergi op malah dibuff mulu paling menyebalkan commander miya sudah tahu bisa menyerang hero malah dibuf mulu sudah benar yang kemarin cuma bisa satu kali malah diubah lagi memang rusak nih gamesama satu lagi sistem ban comander yang paling banyak diban malah tidak kepilihmlh acak hadeh,negative
akun lama ku hilang padahal saat belum ada mcgg mc ku bagus saat login eh kok akun baru,negative
game a sih lu,positive
aneh hubungin akun ke google sendiri langsung ke riset semua di kata tidak sayang apa ngerawat dari warior sampai epic yang dikit lagi legend tapi saat di hubungin ke google malah ke riset,negative
penuh perubahan,neutral
tambah lagi fitur pengaturan yang frme rate masak ponsel saya mantok fps,negative
tidak ada serunya kalah mulu,negative
iya kali menonton youtube main ig normal saja main magic cash gogo malah menghubungkan terus,negative
mantap pokoknya bapak monton,neutral
sayah sangat senang kar nya seperti permainan ces yang dulu jadi saya minat ke ces ini seru sekali sudah seperti yang dulu tapi yang dulu lebih lucu ada kucing,negative
game enggak jelas hero gold bintang kalah sama hero gold bintang doang enggak jelas perbaiki kalau mau benar,negative
perpanjang durasi sebelum war pak,neutral
ponsel ram gb agak lag dikit,negative
mohon buatkan mode practice overall semuanya sudah bagus,negative
bagus saya suka tapi ada fitur yang tidak saya suka tolong perbaiki dan amati lebih lanjut,negative
permanenkan mode nostalgia,neutral
game zemboed saran nih ya saran dibikin seperti format pertengahan itu lebih asik logis tidak seperti sekarang amjinc,negative
mengira versi game mininya bisa buat ponsel kentang tapi lama lama jadi berattt,negative
setelah update tanggal tidak bisa match making nunggu min tidak dapat dapat sudah di ulang berkali kali tetap tidak bisa match making tanya cs katanya bintang terlalu tinggi padahal masih bintang,negative
mc gogo ku kenapa tidak bisa ke buka ya sudah install ulang tetap tidak bisa kebuka aneh sekali sumpah,negative
game aneh sinergi hero mahal tapi kadang kalah bisa ke yakin systemnya bnerklah sama sinergi sama hero murahtp kadang kan anehbagusan yang dulu,positive
sudah bolak balik install ulang game game nya tetap stuck di loading,positive
kenapa saya beri bintang satu karena walaupun hero dan sinergi nya sudah seperti dulu tapi tolong membuat karakter nya seperti dulu jangan seperti yang sekarang karena yang sekarang lebih membosankan tolong ubah semua karakter nya secepat mungkin dan membuat semua nya seperti dulu di mlbb mohon kepada pihak pembuat game ini,negative
sumpah update an terbaru seru sekali mode gold rosh pertahakan terus kalau bisa jadikan hero bahagia sekali bintang karena gold rosh di hilangkan,negative
setelah update malah lag tidak nyaman sekali patah sebelumnya lancar tidak ada lag,negative
menurut saya mbak nya sangat besar jadi untuk ponsel kentang yang ram ponsel ram sangat leg dan patah² sekali saat di gunakan tolong buat megic chess tolong perkecil semisal mbak jadi megic chess harus sedikit beda ngaruh mbak sama mlbb ya terimakasih maaf saya kasih bintang satu dulu,negative
meski sudah berumur tapi saya sangat suka main mc daripada mlbb di ml susah naiknya,negative
menurutku fitur sekarang lebih ok tapi lebih ok yang dulu,positive
menurut saya mcgg sekarang kurang bervariasi atau lebih tepat nya menekan kan dengan keberuntungan player di mach semenjak ada gogo card permainan cenderung monoton dan tidak bisa mengotak atik susunan hero yang akan di bentuk mengutamakan keberuntungan yang saya maksut di sini adalah di dewa kan nya sinergi hero harga dan semacam nya,negative
ini game bagus jadi kasih bintang ya indah bersaudara,negative
setiap habis update selalu mengunduh konten dari tolong diperbaiki lagi,negative
lebih seru main nya dari pada mlbb semoga lebih baik ke depan nya,negative
saya kurangi bintangnya sering mengunduh data lagi mulai dari nol jadi paket kuota terbuang percuma,negative
gameny santai,positive
download data nya lama sekali ngalahin ml,negative
jelek bagus waktu kemarin masih di gabung sama ml makan penyimpanan,negative
halo developer saya senang sekali kalian menambahkan mode baru yaitu magic crystal rune saya sangat bernostalgia bagaimana jika magic crystal rune diaplikasikan ke mode ranked sih besok namun rune diganti dengan go go card milik magic chess go go semoga saran saya membantu para pemain magic chess terimakasih,negative
makin mikir saja main nya,negative
commander lylia tolong ditinggiin sama nana mereka terlalu pendek,negative
sudah bagus seperti ke marin kenapa di ubah lagi jadi malas main kalau seperti begini kecewa,negative
wooyy skin ches saya pada kmna,negative
game nya seru semua nya okk lah tapi yang lebih okk itu sekarang ini ada map baru seruuu map nya seperti dulu hero hero nya seperti dulu seru semoga map itu tidak di hapus sama yang punya game,negative
saya tidak man di pc kok suruh main di pc sih min bagaimana,negative
epick,neutral
apalah item yang diperoleh tidak muncul biar muncul harus relog pembaruan bukannya tambah bagus malah tambah membuat emosi perbaiki lah,negative
woooyyy lah kenapa deskripsi emberlord seperti begitu,negative
terima kasih moonton sudah balikin mc yang dulu yang sekaran jadi magic cristal baru rank lagi intinya jangan di menghilangkan ya terima kasih bang moonton,negative
mode mc old membuat pusingsemoga saja mode old tidak di utamain,negative
jumpa musuh yang tidak seimbang dengan ranknya,negative
kenapa di buat lagi moonton ponsel saya jadi lag masa harus hapus ml buat main mc,negative
parah sekali setiap update hero atau patch terbaru selalu dowload data dari awal harus semua dari awal memang tidak bisa dowload data yang paling terbaru saja kenapa harus dari why,negative
untuk update terbaru bagus sekali cocok buat saya yang user commander buss,negative
game sampah setiap awal game tidak dikasih hero synergi yang dipilih ampàaaasss sekali harus komentar ngeluh dulu baru dikasih apa apaan tidak guna sekali game,negative
game nya jauh lebih seru dari sebelumnya saya sampai merasa ini snagat seru dan cocok mengisi waktu luang,negative
game enggak jelas gue gambling setengah mati malah tooson ml nomor epep mabar,negative
tema game bagus dan untuk mekanismenya cukup menarik dan tidak terlalu membosankan hanya saja sangat disayangkan bahwa saat proses pengunduhan data ini game tidak memiliki opsi untuk menjeda pengunduhan sangat merepotkan ketika pemain menggunakan data seluler yang terbatas hal itu tentu berdampak signifikan terhadap keseluruhan pengalaman pengguna apalagi pemain tidak memiliki kendali terhadap manajemen data yang memungkinkan pemain untuk menghapus beberapa sumber daya yang tidak diperlukan,negative
sering sekali download data tiba padahal sudah full downloadnya padahal kagak hapus data tapi tiba download ulang,negative
enggak jelas tiba tiba donwload data lagi padahal saya sudah download data di cek aplikasi mcgg nya masih gb enggak jelas,negative
setelah updatan adanya mode baru patch nya jadi burukhero sudah menang powerdefend saja masih kalah kalah hanya karena cokmander miya dan kagura dinerf sajamenyebalkan,negative
game rusak aneh update dikit saja suruh dowload data dalem lagi kalau cuma beberapa mah enggak apa-apa ini bener² hilang semua suruh dowload lagi,negative
ukuran game kecilin biar heanphone jadul bisa main,negative
tolong permudah dapat hero nya supaya naik level nya cepatsayh sering sulit dapat hero nya di level ke atas,negative
magic chess gogo bagus dan untuk pemula hero di gratisin,negative
permainan yang tidak seimbang banyak bak susah dapat hero yang di butuhkan,negative
aplikasi sangat bagusl,negative
game banyak bug sudah kali di suruh download data lagi memang game sampah,negative
game magic chest ini sangat baikuntuk segi ram kecilbesardan grafik yang lebih mantap dan juga lebih bagus dari pada yang dulu soalnyayang sekarang lebih baik dan optimis,negative
game bagus cuma kurang mode squad biar bisa vs,negative
mantap kembali lagi ml gogo seperti dulu saya suka,negative
di update saja terus developer kocak baru juga update sinergi eh baru seminggu sudah ganti lagi cape belajar sinergi nya,negative
download data ulang mulu ngabisin kouta,negative
tolong kasih lawan yang bot menyesal saya download magic chest go go,negative
tolong lah di perbaikimasa saya lagi main seru²nya comeback malah tiba² menghubungkan ulangpadahal sinyal ku tidak bermasalahpas lag buat buka wa sc tiktok bagus² saja,negative
susah menang itujngan di downloadgame membuat emosi,negative
cukup seru dan sangat sangat eh hebat,negative
gamenya seru grafik bagus tapi dalam hari terakhir terjadi error dan tidak bisa dilanjutkan matchnya sampai kehilangan bintang mohon respon nya agar kami dapat melanjutkan perjalanan season ini,negative
server masih lag sekali monton,negative
sangat seru tapi makin besar ukuran aplikasinya,negative
game bagus sinergi ok tapi setelah update kok tiap kali buka aplikasi selalu mengunduh mbak error kah,negative
kebanyakan update,positive
enak dimainin,negative
kenapa gameplaynya balik lagi ke dulu terus rank magic chess nya balik lagi ke warior aneh nih,negative
sangat sangat mantap untuk membuang waktu luang anda naik bintang susah giliran turun langsung mantap bukan,negative
kecewa saat ada mode baru yaitu magic crystal kenapa saat menggunakan rya di mode tersebut masih menggunakan blessing pada skill rya nya kenapa tidak diganti dari blessing ke magic crystal tolong diganti dong dari blessing ke magic crystal agar enak main nya kalau menggunakan nya biar bisa sesuka hati kalau memilih magic crystal saat seperti dulu sebelum update,negative
balikin abee seperti dulu,negative
megic chess lebih lama lebih jadi anekarakter nya jadi seperti bonekasusa pilih mana karakter jadi lebih rumit parahtidak enak main magic chess lebih baik main coc,negative
ya bagus untuk game ini mirip ml,neutral
apaan nihkok data mcgg saya riset sihudah kali nih woimasak nol lagi data nyamasak tiap update harus download dari nol terus saya,negative
sebenarnya gamenya seru tapi tolong lah kenapa setiap update harus mendownload dari awal dan itu saat mengunduh data sangat lama padahal sinyal bagus aneh,negative
game idiot pembodohan,neutral
gnna sih enggak ada updatean tiba tiba data gamenya hilang menjadi harus download lagi tolong diperbaiki monton,negative
dikit update dikit update enggak jelas,negative
gila mennn ada sinergi lama terima kasih atmint,negative
season ini makin parah harga gold kalah dengan gold lebih rendah makin aneh hero gold bintang bisa kalah dari hero gold bintang bagaimana ceritanya hero harga gold dinerf terus jadinya hero lebih murah jadi op sekali bisa mikir tidak begini ya masa hero gold bintang kalah sama hero gold bintang nih menurut anda besaran nilai mana atau sebenarnya bisa ngitung tidak sih semenjak keluar dari mobile legend makin ngaur,neutral
update kagak jelas matching kelamaan mending pada uninstall saja,negative
download dalemannya enggak bisa di tunda woi paketan saya habis,negative
saran saya tolong buat game ini lebih menantang jangan mentok di mytic glory saja bintang sudah sampai glory jadi kalau sudah sampai ke glory kita seperti tidak ada tantangan saja buat push rank lagi misalnya kita sudah sampai glory bintang masuk mytic glory immortal dapat hadiah skin kita masuk top global dapat hadiah skin mewah jadi ada tantangan begitu buat main kalau tidak seperti begini jadi cepat bosan jadi nya sudah sampai glory jadi malas main tidak ada tantangan buat ke atas nya,negative
game rusak hari² update terus membuat kouta saya habis sudah update nya tidak ngotak login nya jadi lama saya cuma mau main buat hiburan bukan buat update game membuat internet boros terus,negative
yerlalu berat kadang hero tidak muncul muncul,negative
seperti game cacat jirserver lag mulu,negative
ini kenapa tiap hari buka game download mulu data nya an mlbb juga begitu dan tiba² malah masuk ke akun advan pindah ke orig malah download juga,negative
susah mencari guinevere game jelek,negative
meme saya menggunakan buss tidak dapat moskov apalah lucu,negative
sering keluar sendiri kalau live game ini via tiktok,neutral
lebih susah dapat bintang,negative
fitur manajemen kontennya ampas sekali pertama untuk downloadnya jalan butuh waktu lama kedua download tidak bisa dipause ketiga seluruh data dipaksa buat didownload kecuali yang terakhir harusnya kita bisa download data yang kita mau saja,negative
saya setuju tentang komen tapi yang mengasih lima bintang itu benar,negative
lag tuh gake nya mohon perbaiki lagi,negative
setiap update kok selalu download ulang data mulu selalu ngulang dari ngabisin kuota anjir mana sudah habis gb lebih lagi hufftt sialan,negative
terlalu sering update dan tidak ada pengaturan update melalui seluler atau wifi,negative
terlalu banyak ubdate,negative
game nya seru tapi kenapa saaya tidak bisa login ke akun saya yang sudah ada sejak updete seasone kemarin ya selalu kesalahan koneksi mulu padahal koneksi saya lancar mohon diperbaiki ya karena ini sangat mengganggu,negative
game sih bagus grafik mantap tapi saran saya dibuatkan mode offline seperti di mlbb biar kalau tidak ada kuota masih bisa main,negative
kalau sudah rank glory membuat malas main soalnya cuma bisa mabar ber jadi tidak bisa ikutan partyan tidak diupdate sistemnya dari season lalu tolong lah diubah yang membuat seru kan kalau mainnya mabar,negative
tolong perbanyak draft baned comender untuk apa comander banyak tapi ban cuma comander sekian dan terimakasih drs hali mubarok,negative
plis lah jangan keseringan update terus kenapa sih mana update nya gede gede lagi otomatis pula enggak bisa di tunda dulu begitu ganggu sekali main,negative
lawan dikasih beruntung terus saya tidak dikasih hero line up saya,neutral
bagus tapi lebih suka yang dulu,negative
game nya sudah bagus tapi kok suka hilang terus ya data game nya setiap minggu download data mulu mana dari nol lagi ayolah perbaiki tuh yang data ml nya suka hilang hilang untuk ponsel ponsel bagus mah enak saja dia untuk yang menggunakan ponsel kentang bagaimana tolong di perbaiki ya moonton,negative
tapi kenapa tidak bisa di update majic chess gogo saya,negative
update terossss paketan habis lama lama mirip kakaknya sih ml,negative
game aneh tiba tiba data ke riset sendiri balik ke awal lagi,negative
mencret,negative
bagaimana sih moonton susah player lain seperti saya enggak bisa ganti akun ke yang lain padahal saya sudah punya akun magic chest gong gong soalnya banyak orang lain kecewa maka naikin ranked ke banyakan bintang nya tier nya sampai tier legends atau yang rank lain,negative
gamenya sudah sangat bagus namun saya sarankan mcgg di tambahkan mode offline seperti di mlbb kalau bisa tolong masukin mode offline di mcgg nya,negative
topp,neutral
asyik luar biasa,negative
koneksi jadul,negative
sekalinya menang cuma naik bintang tapi giliran kalah bintang juga bisa hilang mana disetiap level rank nya bintang nya tidak ngotak banyaknya,negative
bug sekali lost connect sampai sekarang enggak bisa play lagi rusak rusak,negative
tidak jelas hero harga bintang kalah sama hero harga bintang,positive
tolong kenapa saya gagal login terus menerus padahal koneksi sudah bagus,negative
lah enggak jelas tiba tiba keluar game terus tidak ada koneksi internet di jam,negative
ini game aneh tidak jelas main deh pertengahan malah menghubungkan ulang koneksi normal lancar di lobby juga matcmaching di temukan tapi sampai menit belum bisa ada tombol pencet masuk aneh,negative
minimal kasih yang sesuai lah heronya yakali sudah unfi lebih tidak dapat dapat lo dapetnya tidak sesuai kalau sudah bagus dapetnya nanti saya kasih bintang akun pascol total bintang ok saya tunggu ini gamenya,negative
sering stuck anjir,neutral
sangat tidak bagus dalam matcmaking nya juga tolong saat rollnya sangat ampas,negative
woy game rusak kah rank saya win terus kenapa bintang tidak menambah menambah,neutral
game rusak menggunakan koutawifi masa koneksi nya tetap lag semenjak season malah makin sering lag koneksi nya,positive
game burikskill comander tidak sesuaisynergi hero yang di menggunakan tidak sesuai toko shopburik,neutral
nerf comander hama seperti wanwan kagura miya lah monton,negative
game rusakkkk tidak seruuu,neutral
cuman mcgogo combo swordman jalan kaki balikin seperti di magic chess sebelum nya lah saya sudah lama pensi setelah muncul mc gogo,negative
sudah level masih saja susah mencari moskov saya nya keburu kalah gegara mencari moskov tidak ketemu ketemu,negative
mantap mvp terus,positive
game taekkmenang kali kalah berkalinaik bintang atau main lagi kalah berkali hilang bintang sekaliguspermainan tidak seimbang sekali sudah diatur sistemmau level n bintang kekuatan setinggi apapun kalau sudah diatur sistem kalahtim tidak akan terasa demage sama sekali ke lawangame apaan seperti begini,negative
jujur saja game ini bagus tapi dari segi permainan entah memang sengaja atau bagaimana misal menang sekali malah dibuat kalah berkali kali kesal sih,negative
sulit dapat hero yang dibutuhkan kesempatan main hero legend juga sulit karena cuman terlalu paspasan untuk bintang susah dapat magic crystal sinergi yang sama permainan lebih mengarah ke siapa yang beruntung dia yang menang bukan susun strategi,negative
update terus tapi makin kacau mendapatkan hero yang dibutuhkan makin sulit,neutral
tidak bisa fusuyon saat dibeli pemainya dipertandingan mulai,neutral
terlalu banyak kata yang di sensor tidak asyik,negative
game enggak jelas pembagiannya menang sekali kalah berulang ulang kaliseakan seperti pilih kasih hanya kepada player player tertentu,negative
enggak jelas tidak adil sekali woi kasihnya,negative
saat mau finasl super nge lag aplikasinya parahhhb,negative
jujur ini game sudah bagus saya yang main mc dari season bahkan sebelum ada mcgg juga suka game ini menurut saya minus nya nih game cuma yaitu lag delay saat di game dan sering log out sendiri ketika lagi nge lag padahal koneksi bagus saja jadi mohon di memperbaiki ya dari pihak moonton sekian saran dan kritik dari saya terima kasih,negative
sepertinya sudah diatur soal menang kalahnya kalau sudah waktunya kalah mau menggunakan sinergi apapun pasti bakal kalhkalau sudah waktunya menang main ngawur saja pasti bakal menang aneh parah parah,negative
saya ketemu go go card jelek jelek tidak bisa begini tidak bakal menang saya kalau begitu yang adil lah mcc dan juga game loading nya sudah semua tapi kagak masuk masuk koneksi kagak sudah rusak ini game mending enggak usah main membuat strees sumpah tidak ada adil adil nya pliss jangan main sama game rusak,negative
gamenya tidak jelas padahal jaringannya bagus kok lag,negative
tolong admin buatkan jeda unduh data soalnya saya menggunakan paket data tidak mungkin juga saya menggunakan paket data untuk mengunduh data file nya,negative
too bad,negative
developer tolong dong nambahin fitur peningkatan koneksi ini saya memakai internet wifi lag kali merah terus saat dalam match jadi membuat kesal mau ngambil hero atau memindahkan hero tiba tiba delay dan itu membuat semua yang kami lakukan jadi sia sia mohon di tambah ya fiturnya serius saya meminta maaf kalau mengasih rating bintang,negative
permainan banyak yang tidak adil banyak lag nya,negative
sering sekali setiap login masuk nya berubah tulisan cina semua masih banyak bug nya,negative
mungkin harga hero² nya lebih di murahkan agar player yang baru main bisa beli dengan cara mudah,negative
game scam hero gold bisanya² cuma ada,neutral
kasih ling nya woi,negative
bug tidak bisa pencet di pojok kiri atas,negative
aneh benar ini game malah stuck loading padahal koneksi bagus bagus saja,negative
game tahi tidak berguna sudah sama seperti ml tidak naik renknya sudah semua kombo di coba komender semua di beli tidak guna juga,negative
sekarang magic chess susah dan sinergi nya banyak yang saya tidak pahami agar lebih baik menurut saya kembalikan magic chees di mode arcade atau ml agar tidak membosankan seperti mcgg,negative
kenapa sering lag saat lagi war,neutral
game tolol banyak bug nya,negative
game burik lag lagi,neutral
gtw rating nya buruk yaudah ikutan saja,negative
game nya sangat bagus tapi kasih lah hero yang sesuai monton,negative
awesome i love itu,negative
padahal koneksi ok lancar tidak putus putus buat main game lain juga lancar buat lihat tiktok juga lancar tapi giliran buat main ini malah lag sama suka nge freeze,negative
tidak seimbang kalau mabar sama yang tier nya gede,negative
coba di betulin buat jaringannya tiba suka keluar game sendiri,negative
game ini sangat bagus tapi heronya yang keluar tidak dibutuhkan tapi kalau permainannya bagus dan juga gambarnya bagus semoga game ini berkembang menjadi game yang sangat bagus dan diperbarui semuanya ya,negative
sangat menarik untuk dimainkan di masamasa bosan atau lagi bengong,negative
semua skin dan tema gacha saya hilang dan di ganti dengan kotak dan koin biasa yang tidak sebanding,negative
menang kali kalahnya kali mantepp,negative
