clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
mending uninstall menang kalah terlalu di atur pihak game,negative,positive,negative,negative,negative,negative,negative,negative
game judi siapa top up akunnya terpelihara,positive,positive,neutral,negative,negative,neutral,negative,neutral
tolong balikin commander ling stak nya jangan di hero tapi per rounde biar lebih seimbang saja belakangan ini ling susah unntuk bersaing dengan commander lain intinya lebih enak ling kurung yang dulu di banding sekarang,negative,positive,positive,negative,negative,positive,positive,positive
karena masalah ping nya sudah normal lagi saya beri rating bintang dan gamenya seru,negative,negative,positive,positive,neutral,positive,positive,positive
banyak bug nya saya menggunakan tarz lagi bintang tiga malah habis heronya padahal masih ada slot dan enggak ada yang menggunakan juga heronya tolong lah sudah senang senang malah di prank,negative,positive,negative,negative,negative,negative,positive,negative
komtlol game scampelit hero tidak di kasih saya uninstall,negative,positive,negative,negative,negative,negative,neutral,negative
magic chess versi lama sudah kembali namun karakter masih versi mcgg kembalikan komender versi lama yang bisa pilih pilih skil alasan kami berhenti main magic chess adalah perubahan pada mc lama yang upgred ke mcgg,negative,positive,neutral,neutral,negative,negative,neutral,negative
skil commander seperti sebelumnya saja siii asik menggunakan abe level vale level dan austus miror lebih menantang lebih asik sekarang garing tidak seruuu,positive,negative,positive,negative,negative,negative,negative,positive
bintang satu game tolol,negative,positive,negative,negative,negative,negative,negative,negative
mantap sangat menghibur dan saya suka ini permainan strategis bagus untuk menguji taktik dan akal kita untuk kemenangan saya suka apalagi saya seorang tni saya biasa main di waktu bajaga dan tidak mengganggu pekerjaan mantap bravo,negative,negative,positive,positive,neutral,positive,positive,positive
nunggu rank mytic baru bintang,positive,neutral,negative,neutral,negative,neutral,neutral,neutral
game yang menghiburcocok untuk yang bekerja bisa bermain tanpa harus fokus dipantengin ponsel nya,negative,negative,neutral,positive,neutral,positive,neutral,positive
tidak pernah dapat sinergi yang saat ls mulu,negative,positive,negative,negative,negative,negative,negative,negative
monton tolong nerf komender miya terlalu op dan tolong baf komander wanwan sudah tidak berasa,negative,positive,negative,negative,negative,neutral,negative,negative
lag wae anjing babaturan aing ku aing hospot te lag ai aing nya lag bagong magic chees bagong,negative,positive,negative,negative,negative,positive,negative,negative
enggak seru seruan ng dulu,negative,positive,negative,negative,negative,negative,negative,negative
game kapitalis tidak konsisten,neutral,positive,negative,negative,negative,negative,negative,negative
hero comender baru karina sangat tidak logis masak bisa sekuat itu,negative,positive,negative,negative,negative,negative,negative,negative
game lucu enggak jelas bisa haya bintang astro kalah sama bruiser belum full jadi kocak kocak,negative,negative,positive,negative,negative,negative,negative,positive
masuk kedalam mode rank nya lama sekali,negative,positive,negative,negative,negative,negative,negative,negative
zonk,neutral,positive,negative,negative,negative,negative,negative,negative
tiap mau naik tier pasti saja dark sistem,negative,neutral,neutral,negative,negative,negative,negative,neutral
masih suka nge lag lag padahal koneksi lancar lancar saja,negative,positive,negative,negative,negative,positive,positive,negative
game nya bagus tapi tolong rol bawah di nerf,negative,positive,negative,neutral,negative,negative,negative,negative
jelek sekali cari hero nya rasa cari emas kilo musuh hero nya sudah jadi kita hero nya saja susah cari nya,negative,positive,negative,negative,negative,negative,negative,negative
tambahkan equipment agar hero makin kuat,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
sebenarnya gamenya bagus tapi mengapa setiap sinergi saya yang telah berhasil saya nyalakan max semisal sinergi tapi masih di hitung sinergi padahal yang saya masukan sudah lengkap karena bug ini merugikan sekali bagi saya bukan hanya kali saja tapi hampir di setiap match yang saya mainkan selalu seperti ini tolong segera di perbaiki bugnya,negative,positive,negative,negative,negative,negative,negative,negative
hhhhh ok,positive,negative,positive,negative,neutral,negative,negative,positive
baja,neutral,negative,negative,neutral,neutral,positive,positive,negative
menyenangkan dan bagus sekali,negative,negative,positive,positive,neutral,positive,positive,positive
game bagus sekali dan tidak bosan nin,negative,negative,positive,positive,neutral,positive,positive,positive
kok saya tidak bisa log ini padahal sudah versi terbaru play store tapi yang di layar sebelum masuk tolong dong bantuannya,negative,neutral,neutral,negative,negative,neutral,negative,negative
game nya seru saya suka bermain,negative,negative,positive,positive,neutral,positive,positive,positive
game t lag mulu saat di mainkan buruk sekali,negative,positive,negative,negative,negative,negative,negative,negative
di setiap game kalah mulu dan juga sudah ikut kata tutorial dan ikuti strategi dari youtube,negative,positive,negative,positive,negative,negative,negative,negative
game tidak berguna bangk nih game,neutral,positive,negative,negative,negative,negative,negative,negative
mulai legend kok jadi begitu gme nya,neutral,positive,negative,negative,negative,negative,negative,negative
game yang sangat seruadildan menyenangkantapi bohong,negative,negative,positive,positive,neutral,positive,positive,positive
game monopoli,positive,positive,negative,neutral,negative,neutral,negative,negative
kemarin sempat ngebuff atau bagaimana masa saya main rank tampilannya seperti mgcc lama terus saat main yang kedua baru kembali normal,negative,positive,neutral,neutral,negative,negative,negative,negative
enggak geming,negative,negative,positive,negative,negative,positive,negative,positive
tolong buat pemula jangan di kasih musuh yang tangguh dong karena akibat kalah terus ahir nya mereka merasa jenuh dan jadi cepat bosan main nya,negative,positive,negative,negative,negative,negative,negative,negative
assalamualaikum warahmatullahi wabarakatuh pak monton ini ada bug di mode nostalgia tadi saya main saat di ronde creep item nya tidak muncul saat di ronde creep item creep langsung muncul jadi saya cukup sulit untuk menang,negative,positive,negative,negative,negative,negative,positive,negative
tolong di perbaiki banyak buggg terjadi saat di dalam game tolong sekali ya moonton,neutral,positive,negative,negative,negative,negative,neutral,negative
game rusak menang kalah sudah di atur sama sistem percuma se jago apapun kalau sistem yang mengatur tetap saja mengira beda dengan game sebelah ternyata di pisah pun tetap sistem yang mengatur,negative,positive,negative,negative,negative,negative,negative,negative
game kocak enggak jelas saja sama ml kocak,negative,positive,negative,negative,negative,negative,negative,negative
kenapa kita tidak bisa lihat pp orang ya,positive,positive,negative,negative,negative,negative,negative,negative
setiap mau sinergi selalu log out game rusakkk,neutral,positive,negative,negative,negative,negative,negative,negative
buat game judol saja bujangenam game tidak masuk akal bangitek longor,positive,positive,negative,negative,negative,negative,negative,negative
tolong dong di perbaiki dikit saya sering kepencet jual hiro secara tidak sengaja,negative,positive,negative,negative,negative,negative,negative,negative
anjir bagus cok,negative,negative,negative,positive,negative,positive,positive,negative
karena dapat lawannya jago lancar sinyal kalau lawannya seperti pemula lancar sinyal tolong di perbaiki lagi saya beri bintang kalau sudah betul saya kasih bintang,negative,positive,negative,negative,negative,positive,positive,negative
masa harus jadi akun baru mcgg nya dari akun lama,negative,positive,negative,negative,negative,neutral,neutral,negative
ok sekali semua akan indah,negative,negative,positive,positive,neutral,positive,positive,positive
tolong diganti suara opening buka game go go suara seperti permainan anak tak sedangkan isi game penuh dengan asah otak kalau diupdate suara opening berubah seperti mlbb atau lainya saya tambah bintang lagi,negative,positive,negative,negative,negative,positive,neutral,negative
sudah ok mntp deh,neutral,negative,positive,negative,negative,neutral,positive,positive
game genre kompetitif tapi menang kalah semua di tentukan oleh pihak dari developer skill dan sistem game yang di buat katanya membuat adil untuk player contoh sebuah rolling hero di kasih itu tidak sesuai dan pembagian kartu yang tidak di inginkan saat bermain yang katanya itu dibagi random wajar saja game ini rating nya lu lagi membuat game kompetisi apa game gambling wajib di pertahan semoga tambah turun rating nya keren,negative,negative,positive,negative,negative,negative,positive,positive
tolong perbaiki min lag parah,negative,positive,negative,negative,negative,negative,negative,negative
game anjing hama tahi game bosok,negative,positive,negative,negative,negative,negative,negative,negative
tidak bisa download selalu black screen padahal handphone sudah versi,negative,positive,negative,negative,negative,negative,negative,negative
hero hama,neutral,positive,negative,negative,negative,neutral,negative,negative
kalau memang nyediain fitur menejemen konten dan nyedian fitur tunda dwonlod itu di jalan kan jangan cuma buat buat pajangan saja kasihan yang main di ponsel gb an masa sudah saya tekan lebih dari kali masih tetap tidak tertunda cepat updte dan benerin fitur menejemen kontenya dan fitur tunda dwonlod nya,negative,positive,negative,negative,negative,negative,negative,negative
kenapa kau pindah akun fb selalu gagalkesalahan koneksi muluwifi ok data pun ok tapi tidak bisa,negative,positive,negative,negative,negative,negative,negative,negative
komender kurang bervariasi tidak seperti dulu komender bisa skill jadi lebih seru,negative,negative,positive,neutral,negative,negative,positive,positive
mantap kali wakini loh yang tak mau,negative,negative,positive,positive,neutral,positive,positive,positive
enggak bagus dan suka membuat vrustasi,negative,positive,negative,negative,negative,positive,negative,negative
enggak bisa login ngestuck di download rescue padahal sinyal nya kencang sudah nunggu menit sama saja enggak bisa login,negative,positive,negative,negative,negative,negative,negative,negative
tolong perbaiki bagian login akun soalnya mau login kesalahan koneksi terus diandroid nougat sedangkan diandroid bisa login akun,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
game sampah enggak ada apa tiba nge lag game lain bagus sekelas genshin impact saja tidak begitu nih cuma game taro hero doang lag nya parah kocak,negative,positive,negative,negative,negative,negative,negative,negative
sudah gede aplikasinya masih error juga,negative,positive,negative,negative,negative,negative,negative,negative
gamenya keren cuma kurangnya magic cristal tidak pasti muncul ketika crep pertama walaupun kita sudah aktifin sinergi jadi tidak jelas kita itu main ke arah mana jadi tolong montoon kasih magic cristal ketika melawan creep pertama seperti magic chess yang dulu supaya kita jelas kita main ke arah combo apa,negative,negative,negative,positive,negative,negative,negative,negative
brody astro is back,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
masalah game ini bug saat match susah sekali mencari sinergi atau hero op saya comender layla kalah terus lat game sinergi sudah saat combo sudah saat tapi sayang susah mencari hero bintang dengan bintang kalah terus paling posisi ke atau ke,negative,positive,negative,negative,negative,negative,negative,negative
kartunya dapetnya sering busuk,neutral,positive,negative,negative,negative,negative,negative,negative
game nya sudah bagus tapi tambahkan waktu nya ke detik kecepatan tambahkan ke atau detik itu saja sih,negative,positive,negative,neutral,negative,negative,negative,negative
comander karina itu bug itu,negative,positive,negative,negative,negative,negative,negative,negative
game stresss kadang bisa login kadang enggak,positive,positive,negative,neutral,negative,negative,neutral,negative
aplikasi ini bagus sekali cocok nyemil sambil main ini,negative,negative,positive,positive,neutral,positive,positive,positive
mana ada saya dapat hero jelek terus minimal sama ratakan,negative,positive,negative,negative,negative,negative,negative,negative
gamenya bagus cuma ada yang kurang tolong buatkan commander khaleed dong ya soalnya saya suka sekali deh dengan commander satu itu,negative,negative,positive,neutral,neutral,positive,positive,positive
bang mana commander karina kok enggak ada,negative,positive,negative,negative,negative,neutral,negative,negative
game magic chess gogo sangat seru,negative,negative,positive,positive,neutral,positive,positive,positive
sangat buruk pemain selalu diberikan dark sistem kali menang kali kalah kali menang kali kalah begitu seterusnya wajib uninstal mending fokus di mobile lagend lebih seru,negative,positive,negative,negative,negative,negative,negative,negative
magic ches tidak mangecewakan saya dari pada mlbb membuat stres karena tim,negative,positive,negative,negative,negative,negative,negative,negative
masih banyak bug game ini mohon diperbaikisaya memakai comander lylia skill lylia kan mengasih hero termahal yang berada di pasukan kita ketika hero termahal saya mau bintang malah buggak di kasih hero termahal malah dikasih hero yang lain padahal hero termahal saya belum bintang kalau masih ada hal seperti begini mending tidak usah main game ini terus hapus masih butuh banyak perbaikan buat game ini pasti juga ada orang yang mengeluh tentang kendalamasalah dan bug yang lain uninstall saja,negative,positive,negative,negative,negative,negative,negative,negative
games terlalu mudah dimainkan untuk pemula,negative,positive,negative,neutral,neutral,positive,negative,negative
ada tantangan susah menang jadi seru,negative,negative,positive,positive,neutral,positive,positive,positive
pusing,negative,positive,negative,negative,negative,negative,negative,negative
kurang bagus karena mode practice tidak ada untuk semua orang mode practice harus ada untuk semua biar adil jangan hanya konten creator saja,negative,positive,negative,neutral,negative,negative,negative,negative
tolong stop spam iklan di youtube saya enggak minat main mc go go,negative,positive,negative,negative,negative,negative,neutral,negative
game rusak inibisa jumpa berkalitiap babak tidak ada seru nya,negative,positive,neutral,negative,negative,negative,negative,negative
bang keren bangt game nya,positive,negative,positive,positive,neutral,positive,positive,positive
curang sekali comader jhon mudah sekali ke sinergi,negative,positive,negative,negative,negative,negative,negative,negative
tolong manajemen kontenya bisa dipilih cukup bagian penting saja jadi handphone ram kebawah bisa main dengan smooth,negative,negative,positive,neutral,neutral,neutral,neutral,positive
ini game paling bagus saya main ini game langsung masuk turnamen catur se kota terima kasih moonton sudah buat nih game paling bagus sekali saya crotttt,negative,negative,positive,positive,neutral,positive,positive,positive
game burik mending uninstal kalah kalah kalah game burik game burik sudah hapus saja hapus game nih download ff saya doakan game nih di hapus dari playstore,negative,positive,negative,negative,negative,negative,negative,negative
sistem roll nya tidak balance,negative,positive,negative,negative,negative,negative,negative,negative
terimakasih moonton karena telah menciptakan game terbaik yang pernah ada jasa mu akan selalu dikenang,positive,negative,positive,positive,neutral,positive,positive,positive
sebener nya masih kurang ok buat nk problem,neutral,positive,negative,neutral,negative,negative,negative,negative
apaan sih nih game masa mau beli karakter tidak di kasih padahal koin nya ada huuuuu sikit pun mls saya kasih bintang,negative,positive,negative,negative,negative,negative,negative,negative
tidak nyaman sih main nih game soalnya yapas setiap mau refresh hero nya malah dapat hero yang randomapalagi untuk stok para hero nya saja dikit betmusuh deh dapat hero bintang saya masih hero yang dapat bintang dahlah berharap saja next update nya lebih beruntung saja para pemainnya begitu kan,negative,positive,positive,positive,negative,negative,negative,negative
game stres game membuat gila,positive,positive,negative,negative,negative,negative,negative,negative
min kok skin transformer comender popol kupa hilang saat game nya pisah dari mlbb,negative,positive,neutral,negative,negative,neutral,negative,neutral
kenapa selalu ada notif not enough space padahal penyimpanan masih gb,negative,positive,negative,negative,negative,negative,neutral,negative
makin buruk refresh rate muncul hero lebih sering keluar dibanding ini game makin mirip gacha bukan strategi lagi,positive,positive,negative,negative,negative,negative,negative,negative
bersyukur sinergi dahulu ada lagi semoga tidak dihapus mode rune nya hehe,negative,negative,positive,positive,neutral,positive,positive,positive
game yang membantu mengasah otak untuk berpikir ini rekomendasi sekali buat kalian grafik dan desain nya juga ok sekali,negative,negative,positive,positive,neutral,positive,positive,positive
game nya sangat menyenangkan dan grafik nya juga ok kalau bisa tambahkan hero lainnya lagi,negative,negative,positive,positive,neutral,positive,positive,positive
game gila haya kurang satu lv stok sisa mencari haya satu susah bnngt habis baru ketemu gila gila habis itu mokad,negative,positive,negative,negative,negative,negative,negative,negative
game busuk roll an ampass,neutral,positive,negative,negative,negative,negative,negative,negative
sistem mact nya aneh,negative,positive,negative,negative,negative,negative,negative,negative
selalu di sambut dengan koneksi eror disuruh login ulang padahal lagi enjoy enjoy nya wifi nya juga lancar lancar saja tolong di perbaiki,negative,positive,negative,negative,negative,positive,positive,negative
kemarin sudah di hapus terus barusan coba download lagi tapi enggak bisa login sudah berapa kali coba juga tidak bisa,negative,positive,negative,neutral,negative,neutral,neutral,negative
tidak sekali minimal bagi hero tuh yang rata masa sini daritadi tidak dapat hero gold tapi musuh sudah dapat hero gold bahkan bintang dan ada dua apalagi kalau main diantara mau naik ke pangkat selanjutnya gaadil sekali kapasitas sini lebih banyak dan angka serangan juga lebih banyak sini tapi menang lawan tolong ya min diratain lagi moskov juga damagenya dikurangin dong,negative,positive,negative,negative,negative,negative,negative,negative
gue sudah pertama yang uninstall game inikalian apakah akan sama seperti guepikir saja bos hero bkalah sama hero goldyg membuat game ini tidak mikir apa tidak punya otakgue lebih baik main slot daripada main nih game,neutral,positive,negative,negative,negative,negative,negative,negative
setiap menghubungkan ulang tidak balik ke game,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
kecewa berat myitic ls terus sampai legend,negative,positive,negative,negative,negative,negative,negative,negative
game rusak pay tapi win,neutral,positive,negative,negative,negative,negative,negative,negative
top the best top recomended,positive,negative,positive,positive,neutral,positive,positive,positive
terlalu banyak sinergi bingung,negative,positive,negative,negative,negative,negative,negative,negative
buat ngisi waktu luang,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
woi saya kok di kasih lawan yang sama terus an,negative,positive,negative,negative,negative,negative,negative,negative
untuk game ya bagus tapi wanwanya ikutan tarung,negative,positive,negative,neutral,negative,negative,negative,negative
magic ces gogo adalah game terbaik di dunia,positive,negative,positive,positive,neutral,positive,positive,positive
aneh nya ini game kebanyakan bug padahal saya sudah download semua data nya bug nya banyak semacam mau ambil hadiah star traill malah di bilang pengunduhan segera padahal sudah dan lagi bug di saat mau dalam game aneh nya suara game hero serta kil legendary dan emote battle enggak ada tolong perbaiki lah kenyamanan player,negative,positive,negative,negative,negative,negative,negative,negative
blessing mekanik paling konyol,negative,positive,negative,negative,negative,negative,negative,negative
tolong untuk bug item segera di perbaiki,negative,positive,negative,negative,negative,neutral,neutral,negative
top up diamond pembayaran via qris malah transaksi belum selesai terus padahal saldo kepotong bagaimana ini min dev,positive,positive,negative,negative,negative,negative,negative,negative
less of luck ini the game,positive,negative,neutral,negative,neutral,positive,negative,neutral
game cacat saya main enggak pernah jadi lu niat buat game gasi sudah mc lama lu rusak malah jnj game baru enggak bisa hargain pemainnya,negative,positive,negative,negative,negative,negative,negative,negative
mantap pokoknya saya sangat suka dengan game ini,negative,negative,positive,positive,neutral,positive,positive,positive
game smpah,positive,positive,negative,negative,negative,positive,negative,negative
kalau misalsanya saya menang senang sekali kalau kalah malas main lagi wkwkwkw dari affan,negative,negative,positive,positive,negative,positive,positive,positive
kebanyakan kalah,neutral,positive,negative,negative,negative,negative,negative,negative
game jelek sistem di lawan hehe rusak,negative,positive,negative,negative,negative,negative,negative,negative
tadi saya masuk advance serverapakah bisa ke akun yang lama soalnya kembali ke awal akun server thank,negative,neutral,neutral,positive,negative,neutral,neutral,neutral
game paling seru di seluruh jagat raya,neutral,negative,positive,neutral,neutral,positive,positive,positive
gamenya bagus sekali saat spawn pernah langsung lihat desa dua saat main tapi kalomaining sulit mendapatkan goldnya sama airondiamondemerald gamenya bagus sekali kualitas grafik nya namun saat sudah lamaa tibatiba tidak bisa ngehan curin blok tapi seru sekali saat main survival banyak petualangan yang seru,negative,negative,positive,neutral,neutral,positive,positive,positive
tidak bisa log ini padahal sinyal enggak dan kuotaa bnyakkk hadeeehh kenapa habis update malah begini,negative,positive,negative,negative,negative,negative,negative,negative
game menambah stres,positive,positive,negative,negative,negative,negative,negative,negative
banyak bugtiba tiba sambungan terputusharus relog baru normal lagi,negative,positive,negative,negative,negative,negative,negative,negative
koneksi tidak stabil ping naik turun,negative,positive,negative,negative,negative,negative,negative,negative
tolong perbaiki kepada developer untuk masalah loginmengaitkan akun gagal terus connecting failed terusmasalah koneksi tolong untuk diperbaiki secepatnya,negative,positive,negative,negative,negative,neutral,neutral,negative
game tidak jelas sistem jelek suka lag parah,negative,positive,negative,negative,negative,negative,negative,negative
karena rafi ganteng main,negative,negative,positive,positive,negative,positive,positive,positive
bug nge lag error,negative,positive,negative,negative,negative,negative,negative,negative
sangat cocok untuk saya yang kehabisan gameini tidak ada niatan buat map lain kah,negative,negative,positive,negative,negative,positive,positive,positive
gameplay jelek sering lost signal padahal koneksi internet cepatbuat main game lain lancar tanpa gangguan plus kurang suka sama gameplay yang sekarang,negative,positive,negative,negative,negative,negative,negative,negative
game tidak seimbang mana ada commander wanwan hama hero hero tidak sesuai dengan skillnya dipisah dari mobile legends malah gamenya menjadi busuk begini,negative,positive,negative,negative,negative,negative,negative,negative
enggak bisa di beli permanen comendernya,neutral,positive,neutral,neutral,negative,negative,neutral,neutral
game tidak jelas masa koneksi ku bagus masih lag tidak bisa login leg mulu anjjj,negative,positive,negative,negative,negative,negative,negative,negative
hapus commander layla layla hamaa,negative,neutral,neutral,negative,negative,neutral,neutral,neutral
saya kasih bintang ini supaya kalianliat kenapa sih gameny selalu membuat turunnaik biar main terus bikinemosi buang buang waktu lagi kesal sekali saya,negative,positive,negative,negative,negative,negative,negative,negative
punya saya stack di loading awal mulu sih kacau,negative,positive,negative,negative,negative,negative,negative,negative
rank nya kebanyakan dari xi ke i terus bintang juga ada nah kalau menang ke dapat bintang kalau ke bintang jadi susah mending saat dulu masih di gabung sama ml sekalian tidak menuhin memori juga jadi game nya terkesan membosankan dan tidak asik buat main untuk dm juga di pisah sama ml dulu kalau tidak di pisah masih bisa buat beli hero sekalian beli commander kalau yang ini tidak jadi menggunakan dm sendiri² jadi makin boros pengeluarab di awal permainan harusnya seperti dulu bisa memilih hero yang cocok,negative,positive,negative,negative,negative,negative,negative,negative
game kont gadapet hero yang diinginkan padahal sudah pilih line up sebelum mulaibuff commander tharz lah,neutral,positive,negative,negative,negative,negative,neutral,negative
goods game,positive,negative,negative,neutral,negative,positive,positive,negative
bagus semuanya terimakasih moonton,negative,negative,positive,positive,neutral,positive,positive,positive
lu niat tidak sih kasih hero kok hero saya sampah sampah,negative,positive,negative,negative,negative,negative,negative,negative
sudah benar mode yang dulu malah dipisah belum lagi semua berubah belajar lagi dan malas,negative,positive,negative,negative,negative,negative,negative,negative
sudah lebih baik dibanding season lanjutkan,neutral,negative,positive,negative,negative,positive,positive,positive
elek sekali,negative,positive,negative,negative,negative,negative,positive,negative
gamenya bagus sih tapi buat ram gb tidak mendukung,neutral,positive,negative,neutral,negative,negative,negative,negative
terbaik sangat seruh,negative,negative,positive,positive,neutral,negative,positive,positive
tolong di perbaiki kenapa saat mau masukin akun tamu ke google selalu ngeleqgamenya seru santai dan strategi lumayantapi kendalanya akun saja jadi tidak respect,negative,positive,negative,negative,negative,negative,negative,negative
baru main beberapa match sudah dikasih lawan yang mengerti combo tolong mas mas muntun kasih lawan yang adil dong buat player baru,negative,positive,negative,negative,negative,neutral,negative,negative
terdapat error pada permainan sayasaat saya memenangkan pertandingan mengapa tidak terhitung dalam history dan bintang rank saya juga tidak bertambah padahal koneksi saya terbilang bagus dan lancar saat pemakaian semoga diperbaiki,negative,positive,positive,negative,negative,positive,negative,negative
game tulul yang pernah ada malah makin rusak tidak jelas,negative,positive,negative,negative,negative,negative,negative,negative
banyak cheater lah please perbaiki sayang sekali ini komunitas nya banyak oi papi moonton please yang cheat ban saja sama kalau misal tidak ada yang menggunakan kombonya please kasih ke orang yang menggunakan jangan di membuat susah dong sudah scrol banyak tidak dapat aneh sekali ini menonton,negative,positive,negative,negative,negative,negative,negative,negative
kacau kalah muluitem sudah bagus tetap kalahservernya aneh full bintang hidup item tetap kalah,negative,positive,negative,negative,negative,negative,negative,negative
game sampah membuat mual kau binatang,neutral,positive,negative,negative,negative,negative,negative,negative
hah game apaan deh mau ganti akun tidak bisa malah menempel pada akun sebelumnya nih game benar benar membuat sulit pengguna yang mau ganti akun ke akun lain,negative,positive,negative,negative,negative,negative,negative,negative
kenapa enggak bisa di install padahal ruang penyimpanan masih kosong,negative,positive,negative,negative,negative,negative,neutral,negative
sudah mau mnggu magiches gogo gbisa di buka kenapa ya kkacuma load data sudah enggak ada gmbar juga gbisa masuk juga tkg dengan kakak,negative,neutral,neutral,negative,negative,negative,neutral,negative
ini deh bagus tapi setiap main pasti ping nya jelek jadi ganggu sekali,negative,positive,negative,negative,negative,negative,negative,negative
sayang banyak mode,negative,negative,positive,positive,negative,positive,positive,positive
sangat keren moonton kamu hebat dan saya menyukainya tapi skin nya tolong di tambah ok moonton,positive,negative,positive,positive,neutral,positive,positive,positive
gam ez,neutral,positive,negative,negative,negative,neutral,positive,negative
gamenya sudah bagus cuman kurang fitur berhenti download data,negative,positive,negative,neutral,negative,negative,negative,positive
apalah moonton game comander wanwan kan susah tolong hapus comander wanwan,negative,positive,negative,negative,negative,negative,negative,negative
game jelek wifinya bagus malah lag anehhhhhh,negative,positive,negative,negative,negative,negative,negative,negative
game nya makan koneksi,negative,negative,negative,negative,negative,positive,neutral,negative
muannnntaaaaaaaap pol,negative,negative,positive,positive,neutral,positive,neutral,positive
sangat menyenangkan kan saat bermain bisa heronya naik bintang tiga,neutral,negative,positive,positive,neutral,positive,positive,positive
game nya sudah bangus tapi keamanan nya masih kurang saya mau hapus data magic chess nya setalah itu download data lagi tapi saya masuk ke akun orang lain bukan di akun saya terus saat saya login ke akun saya akunada orang yang masuk ke akun saya jadinya saya setiap main jadi tidak tenang karena ada orang yang masuk ke akun sayajadi tolong sistem keamanan akunnya di perketat seperti mlbb pakai verifikasi dua langkat begitu,negative,positive,negative,negative,negative,negative,negative,negative
lumayan game nya eedikit seru,negative,negative,positive,neutral,neutral,positive,positive,positive
kurang nya kan papi montoon buat vs lahkalo begini cepat kali menang nya sama rank nya jangan jauh kali lah intinya lama di pertandinganpangkat rank nya seperti mlbb biasa saja papi montoon sekiaaaann,negative,positive,negative,negative,negative,negative,negative,positive
kurang suka gamenya bentar update patch lebih suka magic cis yang dulu gabung sama mlbb,negative,positive,positive,positive,negative,negative,negative,negative
pantas ratingnya gamenya memang se tidak jelas itu apalagi dengan adanya mode crystal rune malah makin tidak jelas gamenya menurut ku memang sudah sepantasnya ratingnya segitu tidak lebih,negative,positive,negative,negative,negative,negative,negative,negative
susah cari frangco bintang,negative,positive,negative,negative,negative,negative,neutral,negative
woy developer tanggung jawab lu punya saya nih enggak bisa dimainkan tadi saat loadding sudah malah balik lagi ke tanggung jawab nih lu,negative,positive,negative,negative,negative,negative,negative,negative
sistem matchmaking bajiiingannnnn tidak ada fair nya seperti sengaja dibikin kalah mulu heran,negative,positive,negative,negative,negative,negative,negative,negative
tolong kembalikan sinergi tharz yang dulu jangan di jadikan lylia,negative,positive,neutral,negative,negative,neutral,neutral,neutral
bagus sekali saya main di jam siang saat sudah nya jam sore tidak sadar soalnya game nya seru sekali,negative,negative,positive,positive,neutral,positive,positive,positive
saya kasih ajalah tidak seperti dulu magicnya dan gue tidak bisa mode practis,negative,positive,positive,negative,negative,negative,negative,negative
nice game keep itu up,positive,negative,positive,positive,neutral,neutral,positive,negative
tinggal vs dan sudah all ini gold harusnya logikanya di stock masih ada lah ini susahnya meminta ampun kacau game beruntung hokian ini,negative,positive,negative,negative,negative,negative,negative,negative
tambahkan asasinswordman gold,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
the trash store,neutral,neutral,neutral,negative,neutral,positive,neutral,neutral
kenapa buat ganti akun sulit sekali di mcgg ini,negative,positive,negative,negative,negative,negative,negative,negative
semoga sehat² crew jaya terus moontonmcgg saya hanya punya kalian untuk menemaniku dirumah sendirian setelah pulang kerja dan beraktivitas,neutral,neutral,positive,positive,neutral,positive,neutral,positive
game nya tidak susah susah sekali cuman naro hero doang tolong lah injang kasih yang setara jangan orang lain di kasih mutiara kitanya di kasih ee tidak logis kan alahhhhhh menyet,negative,positive,negative,negative,negative,negative,negative,negative
makin kesini makin kesono tag team ada ranking nya crystal ada ranknya tadinya jadi selingan mobile legends sekarang harus memilih salah satu kadang tidak riset dulu apa karakter pemainnya semua dibikin high intensity games bagaimana mau spending bos,negative,positive,negative,negative,negative,negative,negative,negative
game ribet tiap season ganti combo jmbbt,negative,positive,negative,negative,negative,negative,negative,negative
server eror mulu kgk pernah benar nih game,negative,positive,negative,negative,negative,negative,negative,negative
walaupun saya suka nih gametapi adapun combo yang lagi naik langsung di nerf kan seru makanya kalau baff atau rilis hero jangan terlalu op atau terlalu buriq,negative,negative,positive,neutral,neutral,positive,positive,positive
mnurt saya game plan animasi mc terdahulu jauh lebih seruskrg lihat prtandinganya pun mmbosankan karakter animasi terlalu brvariasi mncolok,neutral,negative,positive,negative,neutral,negative,negative,negative
boleh tapi tolong adil,negative,negative,neutral,neutral,negative,neutral,neutral,positive
roll bawah hama ayolah moonton nerf damage nya,negative,negative,neutral,negative,negative,neutral,negative,neutral
makin ke sini makin parah sih menurut saya magic chessenakan magic chess tahun kebelakang sinergi juga tidak ribet tidak seperti sekarang,negative,positive,negative,positive,negative,positive,negative,positive
game tahi update mulu,negative,positive,negative,negative,negative,negative,neutral,negative
dari heronya ok ada banyak tidak seperti di ml dulu tapi masalah nya game play nya kurang menarik jadi kurang seru,negative,positive,negative,neutral,negative,negative,negative,negative
