content,clean_for_labeling
Cuman MC-GOGO combo swordman jalan kaki balikin kaya di magic chess sebelum nya lah saya udah lama pensi setelah muncul mc gogo,cuman mcgogo combo swordman jalan kaki balikin seperti di magic chess sebelum nya lah saya sudah lama pensi setelah muncul mc gogo
"udh level 8 masih aja susah nyari moskov, saya nya keburu kalah gegara nyari moskov ga ketemu ketemu",sudah level masih saja susah mencari moskov saya nya keburu kalah gegara mencari moskov tidak ketemu ketemu
Mantap MVP terus,mantap mvp terus
"game taekk..menang 1x kalah berkali2..naik bintang 1 atau 2..main lagi kalah berkali2 hilang 4 bintang sekaligus..permainan tidak seimbang sekali sudah diatur sistem..mau level n bintang, kekuatan setinggi apapun kalau udah diatur sistem kalah..tim tidak akan terasa demage sama sekali ke lawan..game apaan kyk gini..",game taekkmenang kali kalah berkalinaik bintang atau main lagi kalah berkali hilang bintang sekaliguspermainan tidak seimbang sekali sudah diatur sistemmau level n bintang kekuatan setinggi apapun kalau sudah diatur sistem kalahtim tidak akan terasa demage sama sekali ke lawangame apaan seperti begini
"jujur aja game ini bagus tapi dari segi permainan entah emang sengaja atau gimana misal menang sekali malah dibuat kalah berkali kali ,kesal sih",jujur saja game ini bagus tapi dari segi permainan entah memang sengaja atau bagaimana misal menang sekali malah dibuat kalah berkali kali kesal sih
"sulit dapat hero yang dibutuhkan. kesempatan main hero legend juga sulit karena cuman 9 terlalu paspasan untuk b3. susah dapat magic crystal sinergi yang sama. permainan lebih mengarah ke siapa yg hoki dia yang menang, bukan susun strategi",sulit dapat hero yang dibutuhkan kesempatan main hero legend juga sulit karena cuman terlalu paspasan untuk bintang susah dapat magic crystal sinergi yang sama permainan lebih mengarah ke siapa yang beruntung dia yang menang bukan susun strategi
update terus tapi makin kacau . mendapatkan hero yang dibutuhkan makin sulit .,update terus tapi makin kacau mendapatkan hero yang dibutuhkan makin sulit
gak bisa fusuyon saat dibeli pemainya dipertandingan mulai,tidak bisa fusuyon saat dibeli pemainya dipertandingan mulai
"terlalu banyak kata"" yg di sensor ga asyik",terlalu banyak kata yang di sensor tidak asyik
game gag jelas pembagiannya menang sekali kalah berulang ulang kali....seakan kayak pilih kasih hanya kepada player player tertentu ..,game enggak jelas pembagiannya menang sekali kalah berulang ulang kaliseakan seperti pilih kasih hanya kepada player player tertentu
Gajelas ga adil bet woi kasihnya,enggak jelas tidak adil sekali woi kasihnya
pas mau finasl SUPER NGE LAG APLIKASINYA... PARAHHHB,saat mau finasl super nge lag aplikasinya parahhhb
"jujur ini game udah bagus gw yg main mc dari season 0 bahkan sebelum ada mcgg juga suka game ini, menurut gw minus nya nih game cuma 3, yaitu lag, delay saat di game, dan sering log out sendiri ketika lagi nge lag padahal jaringan bagus2 aja. Jadi mohon di perbaikin ya dari pihak Moonton, sekian saran dan kritik dari gw trims",jujur ini game sudah bagus saya yang main mc dari season bahkan sebelum ada mcgg juga suka game ini menurut saya minus nya nih game cuma yaitu lag delay saat di game dan sering log out sendiri ketika lagi nge lag padahal koneksi bagus saja jadi mohon di memperbaiki ya dari pihak moonton sekian saran dan kritik dari saya terima kasih
"sepertinya sudah diatur soal menang kalahnya,, kalau sudah wktunya kalah,, mau pake sinergi apapun pasti bakal kalh,kalau sudah wktunya menang, main ngawur aj pasti bakal menang,, aneh, parah parah",sepertinya sudah diatur soal menang kalahnya kalau sudah waktunya kalah mau menggunakan sinergi apapun pasti bakal kalhkalau sudah waktunya menang main ngawur saja pasti bakal menang aneh parah parah
"Gw ketemu go go card jelek jelek gk bisa gini, gak bakal menang gw kalau begitu yang adil lah MCC, dan juga game loading nya udah 100% semua tapi kagak masuk masuk jaringan kagak udh rusak ini game mending gausah maen bikin strees sumpah gk ada adil adil nya pliss jngn maen ama game rusak",saya ketemu go go card jelek jelek tidak bisa begini tidak bakal menang saya kalau begitu yang adil lah mcc dan juga game loading nya sudah semua tapi kagak masuk masuk koneksi kagak sudah rusak ini game mending enggak usah main membuat strees sumpah tidak ada adil adil nya pliss jangan main sama game rusak
Gamenya gk jelas padahal jaringannya bagus kok ngelag,gamenya tidak jelas padahal jaringannya bagus kok lag
"tolong admin, buatkan jeda unduh data, soalnya saya menggunakan paket data, gak mungkin juga saya menggunakan paket data, untuk mengunduh data file nya",tolong admin buatkan jeda unduh data soalnya saya menggunakan paket data tidak mungkin juga saya menggunakan paket data untuk mengunduh data file nya
too bad,too bad
"developer tolong dong nambahin fitur peningkatan jaringan, ini aku memakai internet wifi ngelag kali merah terus pas dalam match jadi bikin kesal mau ngambil hero atau memindahkan hero tiba tiba delay dan itu membuat semua yang kami lakukan jadi sia sia. mohon di tambah ya fiturnya serius saya minta maaf kalau ngasih rating 3 bintang🙏",developer tolong dong nambahin fitur peningkatan koneksi ini saya memakai internet wifi lag kali merah terus saat dalam match jadi membuat kesal mau ngambil hero atau memindahkan hero tiba tiba delay dan itu membuat semua yang kami lakukan jadi sia sia mohon di tambah ya fiturnya serius saya meminta maaf kalau mengasih rating bintang
permainan banyak yang tidak adil. banyak ngelag nya,permainan banyak yang tidak adil banyak lag nya
sering sekali setiap login masuk nya berubah tulisan cina semua masih banyak bug nya,sering sekali setiap login masuk nya berubah tulisan cina semua masih banyak bug nya
mungkin harga hero² nya lebih di murahkan agar player yg baru main bisa beli dengan cara mudah,mungkin harga hero² nya lebih di murahkan agar player yang baru main bisa beli dengan cara mudah
game scam Hero gold 5 bisanya² cuma ada 8,game scam hero gold bisanya² cuma ada
Kasi Ling nya woi,kasih ling nya woi
bug gak bisa pencet di pojok kiri atas,bug tidak bisa pencet di pojok kiri atas
aneh bener ini game malah stuck loading padahal jaringan bagus bagus aja,aneh benar ini game malah stuck loading padahal koneksi bagus bagus saja
"game taik, gak berguna udah sama kaya ml gak naik"" renknya udah semua kombo di coba komender semua di beli gak guna juga",game tahi tidak berguna sudah sama seperti ml tidak naik renknya sudah semua kombo di coba komender semua di beli tidak guna juga
sekarang magic chess susah dan sinergi nya banyak yg saya tidak pahami agar lebih baik menurut saya kembalikan magic chees di mode arcade atau ml agar tidak membosankan seperti mcgg,sekarang magic chess susah dan sinergi nya banyak yang saya tidak pahami agar lebih baik menurut saya kembalikan magic chees di mode arcade atau ml agar tidak membosankan seperti mcgg
kenapa sering nglag pas lagi war,kenapa sering lag saat lagi war
game tolol banyak bug nya,game tolol banyak bug nya
game burik ngelag lagi,game burik lag lagi
gtw rating nya buruk yaudah ikutan aja 🤓☝️,gtw rating nya buruk yaudah ikutan saja
game nya sangat bagus tapi kasih lah Hero yang sesuai monton,game nya sangat bagus tapi kasih lah hero yang sesuai monton
awesome.. I love it,awesome i love itu
"padahal jaringan oke, lancar, ga putus putus. buat main game lain juga lancar, buat lihat tiktok juga lancar, tapi giliran buat main ini malah lag sama suka nge freeze 😒 😒",padahal koneksi ok lancar tidak putus putus buat main game lain juga lancar buat lihat tiktok juga lancar tapi giliran buat main ini malah lag sama suka nge freeze
gak seimbang kalo mabar sama yg tier nya gede,tidak seimbang kalau mabar sama yang tier nya gede
"coba d betulin buat jaringannya, tiba"" suka keluar game sendiri",coba di betulin buat jaringannya tiba suka keluar game sendiri
game ini sangat bagus tapi heronya yang keluar tidak dibutuhkan tapi kalau permainannya bagus dan juga gambarnya bagus Semoga game ini berkembang menjadi game yang sangat bagus dan diperbarui semuanya ya,game ini sangat bagus tapi heronya yang keluar tidak dibutuhkan tapi kalau permainannya bagus dan juga gambarnya bagus semoga game ini berkembang menjadi game yang sangat bagus dan diperbarui semuanya ya
sangat menarik untuk dimainkan di masa-masa gabut atau lagi bengong,sangat menarik untuk dimainkan di masamasa bosan atau lagi bengong
SEMUA SKIN DAN TEMA GACHA SAYA HILANG DAN DI GANTI DENGAN KOTAK DAN KOIN BIASA YANG TIDAK SEBANDING.,semua skin dan tema gacha saya hilang dan di ganti dengan kotak dan koin biasa yang tidak sebanding
menang 1x kalahnya 5x mantepp,menang kali kalahnya kali mantepp
keren dan mantep dah pokoknya nih game,keren dan mantap deh pokoknya nih game
"game gak masuk logika giliran dikasi item² + card bagus, malah dikasi musuh keras keras mana damage nya gak masuk akal lagi,apalagi damage dimid game, gak logis yg di early padahal jumlah Hero/ hpnya kurang lebih sama? game ga jelas,masih enak magic chess yang lama dan gak monoton kek sekarang",game tidak masuk logika giliran dikasi item² card bagus malah dikasi musuh keras keras mana damage nya tidak masuk akal lagiapalagi damage dimid game tidak logis yang di early padahal jumlah hero hpnya kurang lebih sama game tidak jelasmasih enak magic chess yang lama dan tidak monoton seperti sekarang
"jangan dowload game online paling parah,klo topup hero 1 gold pun bisa menang lawan hero 5 gold",jangan dowload game online paling parahklo topup hero gold pun bisa menang lawan hero gold
"habis hapus data, terus login lagi malah nabrak akun orang lain, ini gimana sih? tolong dong di perbaiki bug nya",habis hapus data terus login lagi malah nabrak akun orang lain ini bagaimana sih tolong dong di perbaiki bug nya
montod kikir,montod kikir
Tolong tambahin fitur jeda dwonload,tolong tambahkan fitur jeda dwonload
"BANG GAME KAU BAGUS BANG,TAPI TOLONG LAH YUJONG GANTI HARGA 1 AJA BANG,B3 PUN MASIH NAGA BONAR BANG,B2 JADI LELUCON DOANG",bang game kau bagus bangtapi tolong lah yujong ganti harga saja bangb pun masih naga bonar bangb jadi lelucon doang
ok bagus permainanya,ok bagus permainanya
jangan main game ini saya di season 2 mentok legend 8 gak naik gak turun id: kaum kusam,jangan main game ini saya di season mentok legend tidak naik tidak turun id kaum kusam
"tolong saat menonton teman/orang yang sedang bermain bisa di buat agar mengirim pesan, jadinya bisa menonton sambil berbicara melalui pesan kepada pemain yang di tonton dan saat menonton orang juga tolong di buat bisa melihat apa yang di beli pemain yang di tonton edit: tolong dibuat agar bisa kembali bermain bersama meskipun beda rank lewat tautan wa, soalnya temen saya akun nya hilang mau main bareng jadi ga bisa",tolong saat menonton temanorang yang sedang bermain bisa di buat agar mengirim pesan jadinya bisa menonton sambil berbicara melalui pesan kepada pemain yang di tonton dan saat menonton orang juga tolong di buat bisa melihat apa yang di beli pemain yang di tonton edit tolong dibuat agar bisa kembali bermain bersama meskipun beda rank lewat tautan wa soalnya teman saya akun nya hilang mau main bareng jadi tidak bisa
"makin kek sampah skrg,,, apalgi Hero legend nya,, udh gtu susah pula Hero legend be, kalau b2 kek sampah bgt,,, najis bgt,,, gk kyk MC ORI yg dulu,,,",makin seperti sampah sekarang apalagi hero legend nya sudah begitu susah pula hero legend be kalau bintang seperti sampah sekali najis sekali tidak seperti mc orisinal yang dulu
sangat cocok utk mengisi wkt luang ( jempol ),sangat cocok untuk mengisi waktu luang jempol
game cacat stok Hero ghoib,game cacat stok hero ghoib
moonton buat gems yang bener dong gua habis naik legen lagi epik gua cape monton dikira gua gak cape naikin Reng orang dapet musuh di legen bot sedangkan gw ml kalah mcgg kalah aelah 😡,moonton buat gems yang benar dong saya habis naik legend lagi epik saya cape monton dikira saya tidak cape naikin reng orang dapat musuh di legend bot sedangkan saya ml kalah mcgg kalah alah
gm tidak jelas,gm tidak jelas
game sampah ga layak,game sampah tidak layak
"udah dari awal suka main magic chest, sampai sekarang suka main.",sudah dari awal suka main magic chest sampai sekarang suka main
aplikasi ini antuk sayah main lebih jago mantap lah terimakasi,aplikasi ini antuk sayah main lebih jago mantap lah terimakasi
game asik kalo di toilet enjoy seru mekanik nya juga seru,game asik kalau di toilet enjoy seru mekanik nya juga seru
"udh oke semuanya, Hero, sinergi semaunya udh on point, cuman 1 aja yang harus di tambah, yaitu waktu sebelum memulai pertandingan/war, minimal 40 lebih, karena di posisi itu kita harus ngeroll,susun strategi,nyesuain equipment sama sinergi,jadi tolong waktunya di tambahin, soalnya selalu ngerasa habis ngeroll malah langsung war padahal belum siap semuanya",sudah ok semuanya hero sinergi semaunya sudah on point cuman saja yang harus di tambah yaitu waktu sebelum memulai pertandinganwar minimal lebih karena di posisi itu kita harus ngerollsusun strateginyesuain equipment sama sinergijadi tolong waktunya di tambahkan soalnya selalu merasa habis ngeroll malah langsung war padahal belum siap semuanya
"menurut ku game ini sudah bagus dan tidak ada bag nya , tapi game ini tidak ramah HP RM 2 dan game ini heronya termasuk sedikit, kalau rekomendasiku game ini tidak perlu menambah kan grafiknya , terimakasih 🙏🙏🙏",menurut ku game ini sudah bagus dan tidak ada bag nya tapi game ini tidak ramah ponsel rm dan game ini heronya termasuk sedikit kalau rekomendasiku game ini tidak perlu menambah kan grafiknya terimakasih
sering apdet,sering apdet
tidak rekomendasi !!! hese rek naek ge ciga nu temenang weh rek legend ge!,tidak rekomendasi hese rek naik ge ciga nu temenang weh rek legend ge
game ngefrezz,game ngefrezz
sodara kembarnya moonton... game gak ada hiburannya,sodara kembarnya moonton game tidak ada hiburannya
jika tak pernah top up akan kesulitan maen ini game tak bisa level tinggi.. gak pernah dapet Hero bagus/equipment/kartu yang tak sesuai.. beda banget akun yang dulu sering top up..,jika tak pernah top up akan kesulitan main ini game tak bisa level tinggi tidak pernah dapat hero bagusequipmentkartu yang tak sesuai beda sekali akun yang dulu sering top up
mayan lah kasi + 1 bintang,lumayan lah kasih bintang
sistem banned nya sangat tidak adil,sistem banned nya sangat tidak adil
"Cuma main game ini doang yg lag parah, yg lain lancar aja",cuma main game ini doang yang lag parah yang lain lancar saja
"uninstal game membosankan,Gogo card monoton cristal sinergi manipulasi",uninstal game membosankangogo card monoton cristal sinergi manipulasi
gamenya seru si tapi kok bug gitu yaaaa tapi sekarang pake kartu biasanya gak bisa tapi kok gamenya ngelek aneh kata jaringan terputus padahal nggak,gamenya seru sih tapi kok bug begitu ya tapi sekarang menggunakan kartu biasanya tidak bisa tapi kok gamenya lag aneh kata koneksi terputus padahal enggak
kasih saya magic Cristal emberlord,kasih saya magic cristal emberlord
game rusak sis5im nya nga ngotak,game rusak sisim nya enggak ngotak
"game sakit, ayo kita uninstal 😂😂😂😂😂😂😂",game sakit ayo kita uninstal
"Terimakasih udah nemenin 1 season (s1), hp udah ga support, setelah ML yang pensi di 2023,terus seneng bisa main mcgg karena di pisahkan, dan sekarang cuma kuat 1 season doang, Terimakasih sudah membuat saya senang walau hanya sementara, tunggu saya kembali dengan device yang telah di update ♡",terimakasih sudah nemenin season sih ponsel sudah tidak support setelah ml yang pensi di terus senang bisa main mcgg karena di pisahkan dan sekarang cuma kuat season doang terimakasih sudah membuat saya senang walau hanya sementara tunggu saya kembali dengan device yang telah di update
game nya kikir kasi kemenangan malah dikasi musuh yang jago jago gak work it gw gak saranin main game ini bantu hujatin,game nya kikir kasih kemenangan malah dikasi musuh yang jago jago tidak work itu saya tidak sarankan main game ini bantu hujatin
bagus karna di pisah sama ml. ml gak terlalu ngeleg bagi hp jadul,bagus karena di pisah sama ml ml tidak terlalu lag bagi ponsel jadul
"kaga jelas nih, tdi gua ranked ml biasa aja pas main mcgg lag parah",kagak jelas nih tdi saya ranked ml biasa saja saat main mcgg lag parah
GAME KAGA JELAS!,game kagak jelas
"game ngeselin, setiap mau naik pasti di kasih yg jelek jelek, haya busa hilangin tuh an*",game mengesalkan setiap mau naik pasti di kasih yang jelek jelek haya busa menghilangkan tuh an
monton dark sistem nya hilangkan,monton dark sistem nya hilangkan
hapus aja Commander miya Commander kok ikut nyerang,hapus saja commander miya commander kok ikut menyerang
setiap pergantian akun kurang menyenagkan,setiap pergantian akun kurang menyenagkan
jaringan tidak setabil,koneksi tidak stabil
ini ngebug apa gimana jadi bahasa cina ga bisa di ganti,ini bug apa bagaimana jadi bahasa cina tidak bisa di ganti
"apasih ni game bukannya naik malah turun, pengen hero ini ga di kasih emang ga usah berharap nanti baru du kasih, hero yang ku butuhin malah ga keluar emang ya game hoki hokian",apasih nih game bukannya naik malah turun mau hero ini tidak di kasih memang tidak usah berharap nanti baru du kasih hero yang ku butuhin malah tidak keluar memang ya game beruntung hokian
mon kenapa log-in lewat FB ga bisa.. tolong dong perbaiki,mon kenapa login lewat fb tidak bisa tolong dong perbaiki
match tidak sesuai rank,match tidak sesuai rank
seru tapi agak kurang karana glek terys,seru tapi agak kurang karana glek terys
"tolong segera adakan logout di semua perangkat karna ada orng asing yg masuk ke akun mobile legend saya dengan menggunakan akun magic chess gogo, saya sangat amat memohon untuk keamanan akun magic chess gogo karna ini bersangkutan dengan akun mobile legend saya kalau sudah di perketat baru saya kasih bintang 5",tolong segera adakan logout di semua perangkat karena ada orang asing yang masuk ke akun mobile legend saya dengan menggunakan akun magic chess gogo saya sangat amat memohon untuk keamanan akun magic chess gogo karena ini bersangkutan dengan akun mobile legend saya kalau sudah di perketat baru saya kasih bintang
beri update lagi dong & sinergi 10 nya ditambahkan hero nya,beri update lagi dong sinergi nya ditambahkan hero nya
"game aneh,sistem penerimaan go go cardnya jelek gajelas",game anehsistem penerimaan go go cardnya jelek enggak jelas
Jelekk,jelekk
game tolol giliran sinergi yg di inginkan malah ga keluar gblok game sampah udah benar gameplay kayak yg lama malah dirubah mending uninstall aja dah gini,game tolol giliran sinergi yang di inginkan malah tidak keluar gblok game sampah sudah benar gameplay seperti yang lama malah dirubah mending uninstall saja deh begini
seru main nya semoga kedepan nya lebih bagus lagi,seru main nya semoga kedepan nya lebih bagus lagi
game tolloll,game tolloll
"JANGAN PERNAH PERCAYA GAME SEPERTI INI FAIR, 100% PALSU RANDOM STATs RATE WIN NYA",jangan pernah percaya game seperti ini fair palsu random stats rate win nya
lagi main lag! dahlah mending satuin aja kek dlu sma ML klo masih lag and bug gtu!!!!,lagi main lag dahlah mending satuin saja seperti dulu sama ml kalau masih lag and bug begitu
"seru sihh, tapi mesti naik spekk handpone nyaaa",seru sih tapi mesti naik spekk handpone nya
hama di kasi lawan yg susah susah pekek wanwan pulak hama hama,hama di kasih lawan yang susah susah pekek wanwan pula hama hama
main terus sampai lupa waktu,main terus sampai lupa waktu
"game stress, gajelas,bukannya menghilangkan stres malah jadi stres",game stres gajelasbukannya menghilangkan stres malah jadi stres
"Benci banget aku sama go go card emas musuh dapat nya bagus bagus sedang kan gw dapat nya ampas, yg seharus nya gw bisa menang malah rungkat gara² go go card emas sampah yg gak adil",benci sekali saya sama go go card emas musuh dapat nya bagus bagus sedang kan saya dapat nya ampas yang seharus nya saya bisa menang malah rungkat gara² go go card emas sampah yang tidak adil
game apaan ini.sistem terlalu banyak ikut campur.,game apaan inisistem terlalu banyak ikut campur
sama aja kaya ml di atur ga jelas yang harusnya menang malah di bikin kalah kadang ga adil juga ga jelas udah bagus pas main malah dibikin makin kalah lol game kocak lol,sama saja seperti ml di atur tidak jelas yang harusnya menang malah di membuat kalah kadang tidak adil juga tidak jelas sudah bagus saat main malah dibikin makin kalah lol game kocak lol
keren tpi klo bisa kasi mode practic buat latihan,keren tapi kalau bisa kasih mode practic buat latihan
"mekanisme pengurangan darah yang tidak adil, saya memberi perlawanan dan saya kalah, seharusnya darah saya berkurang sedikit tetapi darah yang berkurang sebesar 25 ini sangat tidak adil",mekanisme pengurangan darah yang tidak adil saya memberi perlawanan dan saya kalah seharusnya darah saya berkurang sedikit tetapi darah yang berkurang sebesar ini sangat tidak adil
game tolol iklam GK guna gw download biar bisa bintang satu ilangin aj game GK guna,game tolol iklam tidak guna saya download biar bisa bintang satu ilangin saja game tidak guna
bagus banget lu kudu istal permainan enan ini,bagus sekali lu kudu istal permainan enan ini
"game bikin kesel, buang2 waktu",game membuat kesel buang waktu
lag server,lag server
Lebih seru waktu mejic ches yg blom di update,lebih seru waktu mejic ches yang belum di update
jelek ga enak,jelek tidak enak
boros banget pemakaiyan nya tolong levih hemat pekaiyan,boros sekali pemakaiyan nya tolong levih hemat pekaiyan
buat dapetin gold nya lama banget sama harus beli Commander banyak buat bintang 3 in Commander hadiah nya juga gak seberapa kasih kartu 2x gold kek,buat mendapatkan gold nya lama sekali sama harus beli commander banyak buat bintang ini commander hadiah nya juga tidak seberapa kasih kartu kali gold seperti
GAME MAGIC CHESS TIDAK SADAR DIRI NAIK DAUN CUMAN GARA² MPL,game magic chess tidak sadar diri naik daun cuman gara² mpl
kecewa sama updatenya uninstall...!!!! makin ruwet sinergi dan skinnya 👎🏿,kecewa sama updatenya uninstall makin ruwet sinergi dan skinnya
game haram pilih kasih ga pernah dikasih hoki sekali pun,game haram pilih kasih tidak pernah dikasih beruntung sekali pun
11 12 sama game buatan lu yang lain ton!!! KACAU KACAU,sama game buatan lu yang lain ton kacau kacau
sama aja kek ML yg namanya moonton game dgn system matchmaking terburuk,sama saja seperti ml yang namanya moonton game dengan sistem matchmaking terburuk
game kicik,game kicik
"padahal sinyal bagus kok ngeleg sampe kalah, terus coba main ml lah kok lancar, MC GG game anehhhh benerin dlu tu bug ga jls",padahal sinyal bagus kok lag sampai kalah terus coba main ml lah kok lancar mc enggak game anehhhh benerin dulu itu bug tidak jls
"1000x lebih baik dari pada mlbb,",kali lebih baik dari pada mlbb
apk gak jelas sering banget lag. padahal jaringan bagus bagus aja,aplikasi tidak jelas sering sekali lag padahal koneksi bagus bagus saja
jelekk gak sesuaii equipment,jelekk tidak sesuaii equipment
mantaf jaya,mantaf jaya
gue suka banget sama go go,gue suka sekali sama go go
Kadang suka tiba tiba merah gajelas main mobile legends bagus MC gogo ngeleg apaandah,kadang suka tiba tiba merah enggak jelas main mobile legends bagus mc gogo lag apaandah
ga bisa login pdahal jaringan normal!!,tidak bisa login padahal koneksi normal
jelek bgtttttt,jelek bgtttttt
"Baiklah begini, saya tlh mengamati dgn baik untk patch game mcgg (84.1) ini dimana terdapat pengaturan sistem yg mengalami hal janggal. Bukti? Jadi di patch 84.1 terdapat hal yg tidak wajar dimana untk commander lylia itu sebenarnya sudah jarang yg main. Nah, saya bermain lylia itu stlh saya bermain Miya dgn synergy doomswon dan dawnbringer. Dimana saya main lylia dgn harapan bisa dapat kartu ungu 2 hero kembar. Tapi, seketika ada 2 player lylia lain dan kebetulan dpt kartu yg sama dan itu gila.",baiklah begini saya tlh mengamati dengan baik untuk patch game mcgg ini dimana terdapat pengaturan sistem yang mengalami hal janggal bukti jadi di patch terdapat hal yang tidak wajar dimana untuk commander lylia itu sebenarnya sudah jarang yang main nah saya bermain lylia itu stlh saya bermain miya dengan synergy doomswon dan dawnbringer dimana saya main lylia dengan harapan bisa dapat kartu ungu hero kembar tapi seketika ada player lylia lain dan kebetulan dapat kartu yang sama dan itu gila
lebih seru megic chess yang langsung dari mobile legendsnya,lebih seru megic chess yang langsung dari mobile legendsnya
"sangat rekomen banget game ini, sambil dagang nungguin pembeli iseng main game magic ches gogo, mantap pokonya , saya kasih bintang pollllll",sangat rekomen sekali game ini sambil dagang menunggu pembeli iseng main game magic ches gogo mantap pokoknya saya kasih bintang pollllll
"bukan game strategi, tapi hoki2an wkwk, pas rank tinggi roll kartu ampas semua",bukan game strategi tapi hokian wkwk saat rank tinggi roll kartu ampas semua
kok jadi di pisah? jelek ah,kok jadi di pisah jelek ah
"Sudah cukup bagus, tapi mohon perbaiki bug apabila menyimpan replay gameplay sendiri malah hilang sendiri.Terkadang ngefresh tokony hoki² an aja, padahal persenan keluar gold bintang herony tersebut sudah paling besar, tpi tetap saja ngefresh 10 kali tetap gadapat² pdahal stock herony masih ada. Ini kejadiannya sudah berulang ulang saya dapati.",sudah cukup bagus tapi mohon perbaiki bug apabila menyimpan replay gameplay sendiri malah hilang sendiriterkadang ngefresh tokony hoki² an saja padahal persenan keluar gold bintang herony tersebut sudah paling besar tapi tetap saja ngefresh kali tetap gadapat² padahal stock herony masih ada ini kejadiannya sudah berulang ulang saya dapati
"laporan dibatasi, hero, dan damage gak masuk akal comender kagura. hero zhack, popol kupa, vexana dan sun B3 semua dan masih ada yang lain hayabusa, ling B2 KALAH SAMA WANWAN B3 😤 Pas dilaporin malah dibatasin HADEH 😡🤬🤬🤬",laporan dibatasi hero dan damage tidak masuk akal comender kagura hero zhack popol kupa vexana dan sun bintang semua dan masih ada yang lain hayabusa ling bintang kalah sama wanwan bintang saat dilaporin malah dibatasin hadeh
"game rusak, rolingan busuk, sistem ban lu benerin lah montoon, masa komander 1 banding 4 di ban yg satu, aneh banget heran.",game rusak rolingan busuk sistem ban lu benerin lah montoon masa komander banding di ban yang satu aneh sekali heran
mohon untuk para pendiri aku ingin kembali ke mc yg dulu karena yg dulu lebih seru dan menantang dari pada sekarang,mohon untuk para pendiri saya ingin kembali ke mc yang dulu karena yang dulu lebih seru dan menantang dari pada sekarang
game dah bagus tapi entah kenapa kok di hp realme narzo 50A prime gampang panas. bahkan lebih panas dari pada main ml. bukan karena internal. dulu main ml masih ada mcgg tetap normal. ini ml dah aku hapus tetap aja panas. kek main game berat,game deh bagus tapi entah kenapa kok di ponsel realme narzo a prime gampang panas bahkan lebih panas dari pada main ml bukan karena internal dulu main ml masih ada mcgg tetap normal ini ml deh saya hapus tetap saja panas seperti main game berat
Hay!!! moonton tolong kasih mode offline dong aku tidak suka Kolok tidak ada mode offline nya tolong di kasih ya aku kasih bintang 1 dulu ya Kolok di kasih mode offline nati ku kasih bintang 5 tolong di kasih moonton,hai moonton tolong kasih mode offline dong saya tidak suka kolok tidak ada mode offline nya tolong di kasih ya saya kasih bintang dulu ya kolok di kasih mode offline nati ku kasih bintang tolong di kasih moonton
Susah benget cari golden staf,susah benget cari golden staf
game sangat buruk sangat² buruk,game sangat buruk sangat² buruk
"Game ampas, muak banget sama sistem permainan nya, persentase hero yg di butuhkan sesuai sinergi susah dapat nya, parah banget, bikin frustasi, game busuk, sama aja kayak mlbb, lama2 gw uninstall",game ampas muak sekali sama sistem permainan nya persentase hero yang di butuhkan sesuai sinergi susah dapat nya parah sekali membuat frustasi game busuk sama saja seperti mlbb lama saya uninstall
Sistem Ban tolong diubah menjadi commander yang terbanyak yang di ban yang ke pilih jangan kaya random gitu,sistem ban tolong diubah menjadi commander yang terbanyak yang di ban yang ke pilih jangan seperti random begitu
game ga balancenya sama sekali ada yg op ada yang ampas apalah game playnya jadi monoton,game tidak balancenya sama sekali ada yang op ada yang ampas apalah game playnya jadi monoton
pas saya login gak bisa masuk trs aja nyangkut di loadingscreen,saat saya login tidak bisa masuk terus saja nyangkut di loadingscreen
"maen game itu untuk hiburan, ini malah nambah stress, menang nya 2x lose streaknnya bisa 4-5 kali, auto uninstall",main game itu untuk hiburan ini malah menambah stres menang nya kali lose streaknnya bisa kali auto uninstall
"Trash....?? 😌 I added more star, hopefully this game will improve. after trying to redownload and play again, hmmmh this is not too trash... It would be better if the download size in the game could be reduced in size. Many new players with entry level phones are disappointed with the size of this game. Hopefully the new season at the end of June this game can improve. Both in terms of size and game play.",trash i added more star hopefully this game will improve after trying tapi redownload and play again hmmmh this is not too trash itu would be better if the download size ini the game could be reduced ini size many new players with entry level phones are disappointed with the size of this game hopefully the new season at the end of june this game can improve both ini terms of size and game play
